file,sha256
cfitsio-3.49.tar.gz,8c3a8ed1a3577c0036cd0ddeaee881953c6801c981d2937b6a60b303b7d2d5fb
flif_0.3_2017.zip,14161b4d49e2c53691117361a5344ca69d982212bd5a1d343b33f1294895afa5
fpzip-1.3.0.tar.gz,248df7d84259e3feaa4c4797956b2a77c3fcd734e8f8fdc51ce171dcf4f0136c
fse_git.zip,75de8836f4f932b93feefaa41d80a543039e80edf4ffbe196d2d7ad26920aff7
HM-master.zip,53846388572596910e4577e218e987a7d429bf9091e51bb4a524f2661d03b006
jpegxl_git.zip,49858126381419794317d928416a2087f36872298247074312e9171115c6afd2
libjpeg-master-1.59.zip,2cf73babbec228705e01d14a1f5fd3958a16639419edf6cf1bdc6d0dfadbe413
lz4-1.9.2.zip,0b8bf249fd54a0b974de1a50f0a13ba809a78fd48f90c465c240ee28a9e4784d
marlin_ubuntu20_git.zip,c5a368cf98ac694a0cb0884c53718a33145f261d9a6929153fddd7eb257bb371
nayuki_arithmetic_coder_reference.zip,0b9e332e9cdd234773cc63a945bdf03e7603cc7eedc259d5ba8159ba53faeecd
ndzip-master-enb.zip,0459096eb8e780c492921f235e0fbbe025076411188f2a214c036129ff8ab571
SPModule_20220804.zip,7eb56af65a8b1ca08fba6242fcf38100eb8b8bcf2cbbd1c71af91fd1d3d32fa8
VVCSoftware_VTM-master.zip,8c64e84d0cf626cc78b1ec09f649e713180784887dfff9cb90f1291cd5b82b69
VVCSoftware_VTM-VTM-15.0.zip,155266d3c2e8deed938fbd3684fe0e9baae4cb7ffc3d5aaeb4a4a8baba973292
zfp-0.5.5.tar.gz,fdf7b948bab1f4e5dccfe2c2048fd98c24e417ad8fb8a51ed3463d04147393c5
zstd-1.1.3.zip,911dcd245e87877296e2d814d666a592586e88bc8ce799cb5d4c8ee8f114f2ea
