,count,ssim_min,ssim_max,ssim_avg,ssim_std,ms_ssim_min,ms_ssim_max,ms_ssim_avg,ms_ssim_std
JPEG_LS_2bf27__ls=0_m=1,4,0.9954694766298889,0.9999258314256331,0.9985957336656492,0.0021231867034677675,0.9991805332299971,0.999938873911423,0.9996420454630103,0.000325964835592359
JPEG_LS_2bf27__ls=0_m=2,4,0.9861535745811013,0.9997668140998194,0.9956969324944895,0.006483898120261929,0.9970386491016615,0.9998028682197763,0.9988337142841723,0.00124264400199194
JPEG_LS_2bf27__ls=0_m=3,4,0.9725121654690814,0.9995283015005546,0.991406828485996,0.012856352301548328,0.9935299853912988,0.9995989263597208,0.9974821791718815,0.0027213442268964622
JPEG_LS_2bf27__ls=0_m=4,4,0.9572984176900593,0.9992347068789756,0.9866923047426224,0.019972816515459686,0.9887356511190728,0.9992830547286486,0.9956361912813066,0.00474658530855043
JPEG_LS_2bf27__ls=0_m=5,4,0.9412161575870365,0.9988545166582246,0.9816801250475926,0.027469464097794532,0.9830314385637117,0.998908189295946,0.9934761159504018,0.007129134730413979
Kakadu_MCT_cc23c1_dc23c1__bit_rate=False_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5_spectral_dwt_levels=5,4,0.9998939192346582,0.9999993009502826,0.9999657375916322,4.962880795303251e-05,0.9999886303383511,0.9999979154439187,0.9999952202459231,4.407691049778603e-06
Kakadu_cc23c1_dc23c1__bit_rate=2_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5,4,0.9999300125262431,0.9999993133222489,0.9999775761592431,3.270685399746465e-05,0.9999931335844653,0.999998445754759,0.9999967540938022,2.473174196752556e-06
Kakadu_cc23c1_dc23c1__bit_rate=3_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5,4,0.9999300125262431,0.9999993133222489,0.9999775761592431,3.270685399746465e-05,0.9999931335844653,0.999998445754759,0.9999967540938022,2.473174196752556e-06
Kakadu_cc23c1_dc23c1__bit_rate=4_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5,4,0.9999300125262431,0.9999993133222489,0.9999775761592431,3.270685399746465e-05,0.9999931335844653,0.999998445754759,0.9999967540938022,2.473174196752556e-06
Kakadu_cc23c1_dc23c1__bit_rate=5_ht=False_lossless=False_quality_factor=False_spatial_dwt_levels=5,4,0.9999300125262431,0.9999993133222489,0.9999775761592431,3.270685399746465e-05,0.9999931335844653,0.999998445754759,0.9999967540938022,2.473174196752556e-06
Kakadu_cc23c1_dc23c1__bit_rate=False_ht=False_lossless=False_quality_factor=100_spatial_dwt_levels=5,4,0.999975837926798,0.9999996554577311,0.9999922007247077,1.1251234981005566e-05,0.9999974753209417,0.9999994082982893,0.999998888285699,9.443875752667845e-07
Kakadu_cc23c1_dc23c1__bit_rate=False_ht=False_lossless=False_quality_factor=25_spatial_dwt_levels=5,4,0.9969860453830254,0.9998314955766292,0.998869114178132,0.0013359602534872093,0.99916241772066,0.9997392951402112,0.9995205329463253,0.0002674069603281754
Kakadu_cc23c1_dc23c1__bit_rate=False_ht=False_lossless=False_quality_factor=50_spatial_dwt_levels=5,4,0.9975042289775328,0.9996425390456153,0.9988752920763598,0.0010120566066182562,0.9992719957342269,0.9999188003403832,0.9996119707596607,0.0002790007659655494
Kakadu_cc23c1_dc23c1__bit_rate=False_ht=False_lossless=False_quality_factor=75_spatial_dwt_levels=5,4,0.9985248156244345,0.9998162427195312,0.9993548937775931,0.0006107501978004083,0.9995848041988081,0.9999490041671892,0.9997819645267686,0.00015434711454530457
all,56,0.9412161575870365,0.9999996554577311,0.9965028191015534,0.010322664533621883,0.9830314385637117,0.9999994082982893,0.9988547028064543,0.0028722348980814655
